,mae,rmse,mdae,marpd,r2,corr,LDS,DATASET,SPLIT,FOLD,UE
0,0.47169789118559247,0.584140736767298,0.3954587371741217,34.718572933519084,0.16035859989204937,0.6842267997225588,on,HLM_Fang2023,IVIT,6,JMQR
1,0.37567959357769987,0.4880085166098613,0.29309786887613143,28.695352850245076,0.4139783532310445,0.6936889804741037,on,HLM_Fang2023,IVIT,6,JQR
2,0.3382329016299561,0.4487748135618714,0.2415291527285255,25.844464387378586,0.5044176778772671,0.7205091124600822,on,HLM_Fang2023,IVIT,6,BASE
3,0.3408420598019043,0.4640021882840226,0.22018926707190806,26.061468201913655,0.4702159080212429,0.7113983969783393,on,HLM_Fang2023,IVIT,6,DE
4,0.3501090792440317,0.45136979561614965,0.25931634955485333,27.089285709360865,0.49866982690147743,0.7091043174160312,on,HLM_Fang2023,IVIT,6,MCD
5,0.3596075913517985,0.46253113973253174,0.29192231498736,27.22954233125997,0.4735697833007537,0.6997238218621114,on,HLM_Fang2023,IVIT,6,MVE
6,0.35384168555438966,0.47344530712612976,0.24920292154271917,26.17938449976626,0.44843272881273066,0.671722024554697,on,HLM_Fang2023,IVIT,6,EDL
7,0.381799078741539,0.47341421936889894,0.3172821313580936,30.109177733510332,0.41125336055602546,0.7085542302010995,on,HLM_Fang2023,IVIT,4,JMQR
8,0.35727412670431685,0.45075749827411304,0.302172098365604,28.112985129157366,0.466257525669156,0.7106958984199983,on,HLM_Fang2023,IVIT,4,JQR
9,0.33326914894082593,0.4278068348182504,0.25812266070352274,26.08971701792273,0.5192256577451632,0.7269547317687125,on,HLM_Fang2023,IVIT,4,BASE
10,0.33849250599404934,0.4470838418284258,0.2405197935756389,26.035884475606018,0.47492203517177345,0.7115806952168321,on,HLM_Fang2023,IVIT,4,DE
11,0.33436884518008186,0.4268192391252324,0.28178210954525407,26.32460727987953,0.5214428388601138,0.726259287897426,on,HLM_Fang2023,IVIT,4,MCD
12,0.3401598580007256,0.44439638288364985,0.2761233531851377,25.987061390052528,0.481215638939667,0.7049047150553799,on,HLM_Fang2023,IVIT,4,MVE
13,0.49474021248697575,0.633244153419379,0.37317548848132986,38.53954521592827,-0.05338765005273016,0.3341533416079616,on,HLM_Fang2023,IVIT,4,EDL
14,0.5240980861176495,0.6030466845877809,0.5779623449898965,40.75257068894927,-0.07170021400758309,0.1849664038247813,on,HLM_Fang2023,IVIT,7,JQR
15,0.37963809164577317,0.48603045297332187,0.2874909951319773,29.485715975710676,0.3038570775412972,0.5752036442287929,on,HLM_Fang2023,IVIT,7,JMQR
16,0.372896749396855,0.4793139027544905,0.27259475550529555,28.928400689460144,0.32296440634177215,0.5906715511248509,on,HLM_Fang2023,IVIT,7,BASE
17,0.40590855758865263,0.5291466450507851,0.314202682082631,30.493419951135092,0.1748677855962989,0.6189654082811857,on,HLM_Fang2023,IVIT,7,DE
18,0.38363233890651416,0.48491339628612967,0.29988435247507766,29.857761662270764,0.3070533278047055,0.576662021628926,on,HLM_Fang2023,IVIT,7,MCD
19,0.37721863439759373,0.4687814943061889,0.3061747547838367,29.66088781932992,0.35239175805956313,0.6083289948120815,on,HLM_Fang2023,IVIT,7,MVE
20,0.3586371107167851,0.47789096340834386,0.26934533565870233,26.9391118215779,0.326978271098437,0.5983535004444421,on,HLM_Fang2023,IVIT,7,EDL
21,0.4712247471120784,0.5904383827835765,0.388832790296616,35.30116080367499,0.17761603242788326,0.5837328394846331,on,HLM_Fang2023,IVIT,5,JMQR
